1.html , Spring 2004 Women's Tennis Schedule,  Oct 18 (Sat) 09:00 AM, Patriot League Championship, Bethlehem Pa., Lehigh wins three titles,
1.html , Spring 2004 Women's Tennis Schedule,  Oct 25 (Sat), ITA Division I East Regional Championships, Blacksburg VA, Complete results,
12.html , Spring 2005 Softball Schedule,  Mar 18 (Fri) 12:00 PM, St. Peter's, Georgetown Del., W, 5-4 8 innings,
12.html , Spring 2005 Softball Schedule,  Mar 18 (Fri) 04:00 PM, UMBC, Georgetown Del., W, 3-0,
12.html , Spring 2005 Softball Schedule,  Mar 19 (Sat) 12:00 PM, La Salle, Georgetown Del., W, 6-2,
12.html , Spring 2005 Softball Schedule,  Mar 19 (Sat) 02:00 PM, Albany, Georgetown Del., W, 3-1,
12.html , Spring 2005 Softball Schedule,  Mar 20 (Sun), Providence, Georgetown Del., W, 5-2,
12.html , Spring 2005 Softball Schedule,  Mar 23 (Wed) 02:00 PM, Delaware, Kaufman Field, Postponed,
12.html , Spring 2005 Softball Schedule,  Mar 23 (Wed) 04:00 PM, Delaware, Kaufman Field, Postponed,
12.html , Spring 2005 Softball Schedule,  Mar 26 (Sat) 01:00 PM, Bucknell, Lewisburg PA, W, 5-0,
12.html , Spring 2005 Softball Schedule,  Mar 26 (Sat) 03:00 PM, Bucknell, Lewisburg PA, W, 9-2,
12.html , Spring 2005 Softball Schedule,  Mar 27 (Sun) 10:00 AM, Bucknell, Lewisburg PA, W, 5-1,
12.html , Spring 2005 Softball Schedule,  Mar 27 (Sun) 12:00 PM, Bucknell, Lewisburg PA, W, 9-2,
12.html , Spring 2005 Softball Schedule,  Mar 29 (Tue) 02:30 PM, Pennsylvania, Philadelphia Pa., Cancelled,
12.html , Spring 2005 Softball Schedule,  Mar 29 (Tue) 04:30 PM, Pennsylvania, Philadelphia Pa., Cancelled,
12.html , Spring 2005 Softball Schedule,  Mar 30 (Wed) 06:00 PM, Syracuse, Allentown PA (Patriots Park), L, 1-6,
12.html , Spring 2005 Softball Schedule,  Apr 2 (Sat) 12:00 PM, Lafayette, Kaufman Field, Postponed,
12.html , Spring 2005 Softball Schedule,  Apr 2 (Sat) 02:00 PM, Lafayette, Kaufman Field, Postponed,
12.html , Spring 2005 Softball Schedule,  Apr 3 (Sun) 02:00 PM, Lafayette, Kaufman Field, Postponed,
12.html , Spring 2005 Softball Schedule,  Apr 3 (Sun) 04:00 PM, Lafayette, Kaufman Field, Postponed,
12.html , Spring 2005 Softball Schedule,  Apr 4 (Mon) 02:30 PM, Lafayette, Kaufman Field, W, 12-4 5 innings,
12.html , Spring 2005 Softball Schedule,  Apr 4 (Mon) 04:30 PM, Lafayette, Kaufman Field, W, 2-0,
12.html , Spring 2005 Softball Schedule,  Apr 5 (Tue) 03:00 PM, Lafayette, Kaufman Field, W, 6-4,
12.html , Spring 2005 Softball Schedule,  Apr 5 (Tue) 05:00 PM, Lafayette, Kaufman Field, W, 11-0 5 innings,
12.html , Spring 2005 Softball Schedule,  Apr 7 (Thu) 03:00 PM, Princeton, Princeton N.J., L, 1-9,
12.html , Spring 2005 Softball Schedule,  Apr 7 (Thu) 05:00 PM, Princeton, Princeton N.J., L, 1-3,
12.html , Spring 2005 Softball Schedule,  Apr 9 (Sat) 12:00 PM, Holy Cross, Kaufman Field, W, 3-0,
12.html , Spring 2005 Softball Schedule,  Apr 9 (Sat) 02:00 PM, Holy Cross, Kaufman Field, W, 4-1,
12.html , Spring 2005 Softball Schedule,  Apr 10 (Sun) 12:00 PM, Holy Cross, Kaufman Field, W, 1-0,
12.html , Spring 2005 Softball Schedule,  Apr 10 (Sun) 02:00 PM, Holy Cross, Kaufman Field, W, 8-3,
12.html , Spring 2005 Softball Schedule,  Apr 12 (Tue) 03:00 PM, Villanova, Allentown Pa., L, 3-5,
12.html , Spring 2005 Softball Schedule,  Apr 12 (Tue) 05:00 PM, Villanova, Allentown Pa., W, 8-0 6 innings,
12.html , Spring 2005 Softball Schedule,  Apr 16 (Sat) 12:00 PM, Colgate, Hamilton NY, W, 7-1,
12.html , Spring 2005 Softball Schedule,  Apr 16 (Sat) 02:00 PM, Colgate, Hamilton NY, W, 4-3,
12.html , Spring 2005 Softball Schedule,  Apr 17 (Sun) 12:00 PM, Colgate, Hamilton NY, W, 5-2,
12.html , Spring 2005 Softball Schedule,  Apr 17 (Sun) 02:30 PM, Colgate, Hamilton NY, W, 6-4,
12.html , Spring 2005 Softball Schedule,  Apr 20 (Wed) 03:00 PM, Rider, Kaufman Field, W, 11-6,
12.html , Spring 2005 Softball Schedule,  Apr 20 (Wed) 05:00 PM, Rider, Kaufman Field, W, 6-3,
12.html , Spring 2005 Softball Schedule,  Apr 22 (Fri) 02:30 PM, Army, Kaufman Field, W, 4-3 9 innings,
12.html , Spring 2005 Softball Schedule,  Apr 22 (Fri) 04:30 PM, Army, Kaufman Field, W, 3-1,
12.html , Spring 2005 Softball Schedule,  Apr 24 (Sun) 12:00 PM, Army, Kaufman Field, Cancelled,
12.html , Spring 2005 Softball Schedule,  Apr 24 (Sun) 02:00 PM, Army, Kaufman Field, Cancelled,
12.html , Spring 2005 Softball Schedule,  Apr 27 (Wed) 03:30 PM, Hofstra, Hempstead N.Y., Postponed,
12.html , Spring 2005 Softball Schedule,  Apr 27 (Wed) 05:30 PM, Hofstra, Hempstead N.Y., Postponed,
12.html , Spring 2005 Softball Schedule,  Apr 30 (Sat) 01:00 PM, No. 4 Bucknell, Kaufman Field, Postponed,
12.html , Spring 2005 Softball Schedule,  May 1 (Sun) 11:00 AM, No. 4 Bucknell, Kaufman Field, L, 1-6,
12.html , Spring 2005 Softball Schedule,  May 1 (Sun) 01:00 PM, No. 3 Colgate, Kaufman Field, W, 4-0,
12.html , Spring 2005 Softball Schedule,  May 1 (Sun) 05:15 PM, No. 4 Bucknell, Kaufman Field, W, 10-5,
12.html , Spring 2005 Softball Schedule,  May 2 (Mon) 01:00 PM, No. 2 Army, Kaufman Field, W, 4-3,
12.html , Spring 2005 Softball Schedule,  May 2 (Mon) 03:15 PM, No. 2 Army, Kaufman Field, Postponed,
12.html , Spring 2005 Softball Schedule,  May 5 (Thu) 04:30 PM, No. 2 Army, Kaufman Field, W, 4-1,
12.html , Spring 2005 Softball Schedule,  May 9 (Mon) 03:00 PM, Saint Joseph's, East Norriton Pa., W, 3-1,
12.html , Spring 2005 Softball Schedule,  May 9 (Mon) 05:00 PM, Saint Joseph's, East Norriton Pa., W, 5-4,
12.html , Spring 2005 Softball Schedule,  May 20 (Fri) 09:30 PM, No. 3 Arizona, Tucson Ariz., L, 0-12 5 innings,
12.html , Spring 2005 Softball Schedule,  May 21 (Sat) 07:00 PM, Princeton, Tucson Ariz., L, 1-3,
13.html , All 2006-2007 Rowing Schedule,  Sep 23 (Sat) All Day, Delaware, Newark Del., Complete Results,
13.html , All 2006-2007 Rowing Schedule,  Oct 7 (Sat) TBA, Bucknell Regatta, Lewisburg Pa., Na, Na
13.html , All 2006-2007 Rowing Schedule,  Oct 14 (Sat) TBA, Navy Day Regatta, Philadelphia Pa., Complete Results,
13.html , All 2006-2007 Rowing Schedule,  Oct 20 (Fri) TBA, Head of the Charles Regatta, Boston Mass., Complete Results,
13.html , All 2006-2007 Rowing Schedule,  Oct 28 (Sat) TBA, Head of the Schuylkill Regatta, Philadelphia Pa., Na, Na
13.html , All 2006-2007 Rowing Schedule,  Nov 4 (Sat) All Day, Atlantic City Regatta, Atlantic City N.J., Complete Results,
13.html , All 2006-2007 Rowing Schedule,  Nov 11 (Sat) TBA, Frostbite Regatta, Philadelphia Pa., Complete Results,
13.html , All 2006-2007 Rowing Schedule,  Mar 10 (Sat) TBA, Delaware St. Joseph's LaSalle Sprints, Philadelphia Pa., Complete Results,
13.html , All 2006-2007 Rowing Schedule,  Mar 17 (Sat) All Day, La Salle, Philadelphia Pa., Cancelled,
13.html , All 2006-2007 Rowing Schedule,  Mar 24 (Sat) TBA, Murphy Cup, Philadelphia Pa., Complete Results,
13.html , All 2006-2007 Rowing Schedule,  Apr 1 (Sun) TBA, San Diego Crew Classic, San Diego Calif., Complete Results,
13.html , All 2006-2007 Rowing Schedule,  Apr 7 (Sat) TBA, Lehigh/Drexel Dual, Philadelphia Pa., Complete Results,
13.html , All 2006-2007 Rowing Schedule,  Apr 14 (Sat) TBA, Knecht Cup, Camden N.J., Na, Na
13.html , All 2006-2007 Rowing Schedule,  Apr 21 (Sat) TBA, Lehigh/Lafayette River Cup with Army, Allentown Pa., Na, Na
13.html , All 2006-2007 Rowing Schedule,  Apr 29 (Sun) TBA, Patriot League Championships, Worcester Ma., T-4,
13.html , All 2006-2007 Rowing Schedule,  May 11 (Fri) TBA, Dad Vail Championship Regatta, Philadelphia Pa., Complete Results,
13.html , All 2006-2007 Rowing Schedule,  May 31 (Thu) TBA, IRA's Men and Lightweight Women's National Championship, Camden N.J., Na, Na
15.html , All 2005-2006 Women's Golf Schedule,  Sep 8 (Thu) 01:00 PM, Kutztown Invitational, Berkleigh C.C. Kutztown Pa., Na,1 of 7,
15.html , All 2005-2006 Women's Golf Schedule,  Sep 16 (Fri) 01:00 PM, Lehigh Fall Invitational, Wedgewood C.C. Coopersburg Pa., Na,1 of 4,
15.html , All 2005-2006 Women's Golf Schedule,  Sep 24 (Sat) 01:30 PM, Princeton Invitational, Springdale G.C. Princeton N.J., Na,13 of 17,
15.html , All 2005-2006 Women's Golf Schedule,  Sep 30 (Fri) 01:00 PM, Mount St. Mary's Invitational, Maple Run G.C. Thurmont Md., Na,3 of 8,
15.html , All 2005-2006 Women's Golf Schedule,  Oct 9 (Sun) 01:00 PM, Don Mershon Invitational, Indian Valley C.C. Telford Pa., Cancelled,
15.html , All 2005-2006 Women's Golf Schedule,  Oct 14 (Fri) 08:00 AM, Rutgers Invitational, Rutgers G.C. Piscataway N.J., Cancelled,
15.html , All 2005-2006 Women's Golf Schedule,  Oct 22 (Sat), ECAC Championship, Falmouth Mass., Na,5 of 10,
15.html , All 2005-2006 Women's Golf Schedule,  Mar 24 (Fri) 01:00 PM, Mt. St. Mary's Invitational, Thurmont Md., Na,1 of 6,
15.html , All 2005-2006 Women's Golf Schedule,  Apr 1 (Sat) 08:00 AM, Hoya Women's Invitational, Raspberry Fall Golf & Hunt Club Leesburg Va., Na,11 of 15,
15.html , All 2005-2006 Women's Golf Schedule,  Apr 3 (Mon) 12:00 PM, Muhlenberg Invitational, Lehigh C.C. Allentown Pa., Na,1 of 6,
15.html , All 2005-2006 Women's Golf Schedule,  Apr 10 (Mon) All Day, Hartford Invitational, Wampanoag C.C. W. Hartford Conn., Na,5 of 12,
15.html , All 2005-2006 Women's Golf Schedule,  Apr 18 (Tue) 01:00 PM, Ursinus Invitational, Ursinus Pa., Na,1 of 5,
15.html , All 2005-2006 Women's Golf Schedule,  Apr 21 (Fri) 12:30 PM, Golden Bear Invitational, Berkleigh C.C. Kutztown Pa., T2 of 6,
15.html , All 2005-2006 Women's Golf Schedule,  Apr 25 (Tue) 01:30 PM, Gettysburg Invitational, Gettysburg Pa., Na,1 of 10,
16.html , Fall 2007 Men's Soccer Schedule,  Sep 1 (Sat) 07:00 PM, Drexel, Ulrich Sports Complex, L, 2-3 OT,
16.html , Fall 2007 Men's Soccer Schedule,  Sep 6 (Thu) 07:00 PM, Delaware, Ulrich Sports Complex, W, 1-0,
16.html , Fall 2007 Men's Soccer Schedule,  Sep 14 (Fri) 08:00 PM, Rutgers, Ulrich Sports Complex, W, 2-1 OT,
16.html , Fall 2007 Men's Soccer Schedule,  Sep 16 (Sun) 01:00 PM, Fairleigh Dickinson, Teaneck N.J., W, 1-0,
16.html , Fall 2007 Men's Soccer Schedule,  Sep 19 (Wed) 07:00 PM, UMBC, Ulrich Sports Complex, W, 3-0,
16.html , Fall 2007 Men's Soccer Schedule,  Sep 22 (Sat) 07:30 PM, Penn, Philadelphia Pa., T, 1-1,
16.html , Fall 2007 Men's Soccer Schedule,  Sep 26 (Wed) 07:00 PM, Fordham, Ulrich Sports Complex, T, 2-2 Game called after first overtime due to lightning,
16.html , Fall 2007 Men's Soccer Schedule,  Sep 29 (Sat) 7:00:00 PM, Lafayette, Easton Pa., L, 0-1,
16.html , Fall 2007 Men's Soccer Schedule,  Oct 6 (Sat) 7:00:00 PM, Navy, Ulrich Sports Complex, W, 3-0,
16.html , Fall 2007 Men's Soccer Schedule,  Oct 9 (Tue) 07:30 PM, Maryland, College Park Md., L, 1-2,
16.html , Fall 2007 Men's Soccer Schedule,  Oct 13 (Sat) 4:00:00 PM, Holy Cross, Worcester Mass., L, 1-2,
16.html , Fall 2007 Men's Soccer Schedule,  Oct 20 (Sat) 1:00:00 PM, American, Washington D.C., L, 0-2,
16.html , Fall 2007 Men's Soccer Schedule,  Oct 24 (Wed) 07:00 PM, Columbia, New York N.Y., L, 3-4 OT,
16.html , Fall 2007 Men's Soccer Schedule,  Oct 27 (Sat) 7:00:00 PM, Army, Ulrich Sports Complex, W, 2-0,
16.html , Fall 2007 Men's Soccer Schedule,  Nov 2 (Fri) 8:00:00 PM, Bucknell, Lewisburg Pa., L, 1-3,
16.html , Fall 2007 Men's Soccer Schedule,  Nov 6 (Tue) 02:00 PM, Philadelphia U., Philadelphia Pa., W, 3-0,
16.html , Fall 2007 Men's Soccer Schedule,  Nov 10 (Sat) 7:00:00 PM, Colgate, Ulrich Sports Complex, W, 1-0,
17.html , All 2007-2008 Track and Field Schedule,  Dec 7 (Fri) 06:00 PM, Lehigh Season Opener, Rauch Field House, Na,Unscored,
17.html , All 2007-2008 Track and Field Schedule,  Jan 12 (Sat) TBA, Penn State Relay Meet, University Park Pa., Na,Unscored,
17.html , All 2007-2008 Track and Field Schedule,  Jan 19 (Sat) 10:00 AM, Bucknell Heptagonal, Lewisburg Pa., Men 3 of 6  Women 6 of 7,
17.html , All 2007-2008 Track and Field Schedule,  Jan 25 (Fri) Jan 26 (Sat), Covert Classic & Multi Event, Rauch Field House, Men 1 of 10  Women 4 of 11,
17.html , All 2007-2008 Track and Field Schedule,  Feb 1 (Fri) 06:00 PM, Lafayette, Rauch Field House, M-Lafayette 92, Lehigh 86  W-Lafayette 99, Lehigh 82,
17.html , All 2007-2008 Track and Field Schedule,  Feb 8 (Fri) Feb 9 (Sat), New Balance Invite, New York N.Y., Na,Unscored,
17.html , All 2007-2008 Track and Field Schedule,  Feb 9 (Sat) TBA, Cornell, Ithaca N.Y., Na,Unscored,
17.html , All 2007-2008 Track and Field Schedule,  Feb 15 (Fri) 03:30 PM, Lafayette/Rider Invite, New York N.Y., Na,Unscored,
17.html , All 2007-2008 Track and Field Schedule,  Feb 22 (Fri) 12:00 PM, Patriot League Indoor Championships, Lewisburg Pa., Complete Results,
17.html , All 2007-2008 Track and Field Schedule,  Feb 23 (Sat) 08:45 AM, Patriot League Indoor Championships, Lewisburg Pa., Men: 6th, 7 pts.  Women: 5th, 18 pts.,
17.html , All 2007-2008 Track and Field Schedule,  Feb 24 (Sun) 10:00 AM, Patriot League Indoor Championships, Lewisburg Pa., Men: 7th, 35 pts.  Women: 5th, 49 pts.,
17.html , All 2007-2008 Track and Field Schedule,  Mar 8 (Sat) Mar 9 (Sun), ECAC/IC4A Championships, Boston Mass., Men: 12 of 21  Women: NTS,
17.html , All 2007-2008 Track and Field Schedule,  Mar 9 (Sun) 10:00 AM, ECAC/IC4A Championships, Boston Mass., Men: 36 of 46  Women: NTS,
17.html , All 2007-2008 Track and Field Schedule,  Mar 22 (Sat) 10:00 AM, Lehigh Valley Championships, Kutztown Pa., Cancelled,
17.html , All 2007-2008 Track and Field Schedule,  Mar 22 (Sat) 12:00 PM, Navy, Annapolis Md., Men: 3rd  Women: 2nd,
17.html , All 2007-2008 Track and Field Schedule,  Mar 28 (Fri) 10:00 AM, Winthrop Invitational, Rock Hill S.C., Na,Unscored,
17.html , All 2007-2008 Track and Field Schedule,  Mar 29 (Sat) 09:00 AM, Winthrop Invitational, Rock Hill S.C., Na,Unscored,
17.html , All 2007-2008 Track and Field Schedule,  Apr 5 (Sat) 01:30 PM, Lafayette, Moravian College (Bethlehem Pa.), Men: L, 98-105  Women: L, 87-116,
17.html , All 2007-2008 Track and Field Schedule,  Apr 11 (Fri) Apr 12 (Sat), Bison Outdoor Classic, Lewisburg Pa., Na,Unscored,
17.html , All 2007-2008 Track and Field Schedule,  Apr 12 (Sat) 10:00 AM, Bison Outdoor Classic, Lewisburg Pa., Na,Unscored,
17.html , All 2007-2008 Track and Field Schedule,  Apr 18 (Fri) 04:00 PM, Larry Ellis Invitational, Princeton N.J., Na,Unscored,
17.html , All 2007-2008 Track and Field Schedule,  Apr 19 (Sat) 10:00 AM, Moravian Greyhound Invitational, Bethlehem Pa., Na,Unscored,
17.html , All 2007-2008 Track and Field Schedule,  Apr 24 (Thu) Apr 26 (Sat), Penn Relays, Philadelphia Pa., Na,Unscored,
17.html , All 2007-2008 Track and Field Schedule,  Apr 25 (Fri) TBA, Penn Relays, Philadelphia Pa., Na,Unscored,
17.html , All 2007-2008 Track and Field Schedule,  Apr 26 (Sat) TBA, Penn Relays, Philadelphia Pa., Na,Unscored,
17.html , All 2007-2008 Track and Field Schedule,  Apr 26 (Sat) TBA, Lehigh Games, Goodman Track, Na,Unscored,
17.html , All 2007-2008 Track and Field Schedule,  May 2 (Fri) May 3 (Sat), Patriot League Outdoor Championships, Annapolis Md., Men: 4th-15 points  Women: 6th-14.66 points,
17.html , All 2007-2008 Track and Field Schedule,  May 3 (Sat) TBA, Patriot League Outdoor Championships, Annapolis Md., Men: 4th-51.50 points  Women: 6th-68.66 points,
17.html , All 2007-2008 Track and Field Schedule,  May 16 (Fri) May 17 (Sat), ECAC/IC4A Championships, Princeton N.J., Complete Results,
17.html , All 2007-2008 Track and Field Schedule,  May 30 (Fri) May 31 (Sat), NCAA Regionals, Tallahassee Fla., Complete Results,
18.html , Fall 2006 Football Schedule,  Apr 22 (Sat) 12:30 PM, Brown and White Spring Game, Goodman Stadium, Na,Recap,
18.html , Fall 2006 Football Schedule,  Sep 2 (Sat) 01:00 PM, Albany, Goodman Stadium, L, 16-17,
18.html , Fall 2006 Football Schedule,  Sep 9 (Sat) 06:00 PM, Villanova, Villanova Pa., W, 31-28,
18.html , Fall 2006 Football Schedule,  Sep 16 (Sat) 01:00 PM, Princeton, Goodman Stadium, L, 10-14,
18.html , Fall 2006 Football Schedule,  Sep 30 (Sat) 01:00 PM, No. 22/21 Harvard, Goodman Stadium, L, 33-35,
18.html , Fall 2006 Football Schedule,  Oct 7 (Sat) 1:00:00 PM, Georgetown, Washington D.C., W, 28-3,
18.html , Fall 2006 Football Schedule,  Oct 14 (Sat) 12:30 PM, Yale, New Haven Conn., L, 20-26 OT,
18.html , Fall 2006 Football Schedule,  Oct 21 (Sat) 1:00:00 PM, Bucknell, Goodman Stadium, W, 38-7,
18.html , Fall 2006 Football Schedule,  Oct 28 (Sat) 1:00:00 PM, Holy Cross, Worcester Mass., W, 28-14,
18.html , Fall 2006 Football Schedule,  Nov 4 (Sat) 12:30:00 PM, Colgate, Goodman Stadium, W, 23-15,
18.html , Fall 2006 Football Schedule,  Nov 11 (Sat) 12:30:00 PM, Fordham, Goodman Stadium, W, 45-14,
18.html , Fall 2006 Football Schedule,  Nov 18 (Sat) 1:00:00 PM, Lafayette, Easton Pa., L, 27-49,
18.html , Fall 2006 Football Schedule,  Feb 17 (Sat) TBA, Lehigh Football Banquet, Wood Dining Room (Iacocca Hall) (For more information call 610-758-3132), Na, Na
19.html , Winter 2007-2008 Women's Basketball Schedule,  Nov 10 (Sat) 08:00 PM, St. Josephs, Stabler Arena, L, 59-60,
19.html , Winter 2007-2008 Women's Basketball Schedule,  Nov 17 (Sat) 07:00 PM, Fordham, Bronx N.Y., W, 46-33,
19.html , Winter 2007-2008 Women's Basketball Schedule,  Nov 20 (Tue) 07:00 PM, Princeton, Princeton N.J., L, 49-61,
19.html , Winter 2007-2008 Women's Basketball Schedule,  Nov 25 (Sun) 01:00 PM, Syracuse, Syracuse N.Y., L, 54-61,
19.html , Winter 2007-2008 Women's Basketball Schedule,  Nov 30 (Fri) 07:00 PM, North Florida, Jacksonville Fla., W, 54-50,
19.html , Winter 2007-2008 Women's Basketball Schedule,  Dec 2 (Sun) 01:00 PM, Jacksonville, Jacksonville Fla., L, 60-80,
19.html , Winter 2007-2008 Women's Basketball Schedule,  Dec 5 (Wed) 05:00 PM, LIU, Stabler Arena, L, 49-53,
19.html , Winter 2007-2008 Women's Basketball Schedule,  Dec 8 (Sat) 03:30 PM, NJIT, Stabler Arena, W, 73-58,
19.html , Winter 2007-2008 Women's Basketball Schedule,  Dec 10 (Mon) 07:00 PM, Ohio, Stabler Arena, L, 53-67,
19.html , Winter 2007-2008 Women's Basketball Schedule,  Dec 19 (Wed) 07:00 PM, Sacred Heart, Stabler Arena, W, 63-53,
19.html , Winter 2007-2008 Women's Basketball Schedule,  Dec 21 (Fri) 07:00 PM, Binghamton, Vestal N.Y., W, 68-67 2OT,
19.html , Winter 2007-2008 Women's Basketball Schedule,  Dec 29 (Sat) 01:00 PM, Stony Brook, Stabler Arena, Na,URI 56SBU 55,
19.html , Winter 2007-2008 Women's Basketball Schedule,  Dec 29 (Sat) 03:30 PM, Brown, Stabler Arena, W, 68-38,
19.html , Winter 2007-2008 Women's Basketball Schedule,  Dec 30 (Sun) 01:00 PM, Stony Brook, Stabler Arena, SBU 64Brown 52,
19.html , Winter 2007-2008 Women's Basketball Schedule,  Dec 30 (Sun) 03:30 PM, Rhode Island, Stabler Arena, L, 47-50,
19.html , Winter 2007-2008 Women's Basketball Schedule,  Jan 3 (Thu) 07:00 PM, Yale, New Haven Conn., W, 67-61 OT,
19.html , Winter 2007-2008 Women's Basketball Schedule,  Jan 9 (Wed) 07:00 PM, Pennsylvania, Philadelphia Pa., W, 53-49,
19.html , Winter 2007-2008 Women's Basketball Schedule,  Jan 12 (Sat) 2:00:00 PM, American, Washington D.C., W, 55-37,
19.html , Winter 2007-2008 Women's Basketball Schedule,  Jan 16 (Wed) 7:00:00 PM, Navy, Stabler Arena, W, 55-53,
19.html , Winter 2007-2008 Women's Basketball Schedule,  Jan 19 (Sat) 7:00:00 PM, Army, Stabler Arena, W, 59-57 OT,
19.html , Winter 2007-2008 Women's Basketball Schedule,  Jan 23 (Wed) 7:00:00 PM, Colgate, Hamilton N.Y., W, 67-37,
19.html , Winter 2007-2008 Women's Basketball Schedule,  Jan 26 (Sat) 1:00:00 PM, Lafayette, Easton Pa., L, 45-48,
19.html , Winter 2007-2008 Women's Basketball Schedule,  Jan 30 (Wed) 7:00:00 PM, Bucknell, Stabler Arena, W, 59-53,
19.html , Winter 2007-2008 Women's Basketball Schedule,  Feb 2 (Sat) 1:00:00 PM, Holy Cross, Stabler Arena, L, 51-53,
19.html , Winter 2007-2008 Women's Basketball Schedule,  Feb 9 (Sat) 7:00:00 PM, American, Stabler Arena, L, 49-62,
19.html , Winter 2007-2008 Women's Basketball Schedule,  Feb 13 (Wed) 7:00:00 PM, Navy, Annapolis Md., W, 54-50,
19.html , Winter 2007-2008 Women's Basketball Schedule,  Feb 16 (Sat) 2:00:00 PM, Army, West Point N.Y., W, 50-44,
19.html , Winter 2007-2008 Women's Basketball Schedule,  Feb 20 (Wed) 7:00:00 PM, Colgate, Stabler Arena, W, 51-39,
19.html , Winter 2007-2008 Women's Basketball Schedule,  Feb 23 (Sat) 7:00:00 PM, Lafayette, Stabler Arena, L, 43-59,
19.html , Winter 2007-2008 Women's Basketball Schedule,  Feb 27 (Wed) 7:00:00 PM, Bucknell, Lewisburg Pa., W, 55-48,
19.html , Winter 2007-2008 Women's Basketball Schedule,  Mar 1 (Sat) 1:00:00 PM, Holy Cross, Worcester Mass., L, 55-62,
19.html , Winter 2007-2008 Women's Basketball Schedule,  Mar 8 (Sat) Mar 9 (Sun), No. 6 Lafayette, West Point N.Y., W, 62-51,
19.html , Winter 2007-2008 Women's Basketball Schedule,  Mar 9 (Sun) 07:00 PM, No. 2 Holy Cross, Mahwah N.J. (Ramapo College), L, 44-46,
21.html , Fall 2010 Women's Volleyball Schedule,  Aug 27 (Fri) 11:00:00 AM, Duquesne, Pittsburgh Pa., L, 0-3,
21.html , Fall 2010 Women's Volleyball Schedule,  Aug 27 (Fri) 4:00:00 PM, St Francis (PA), Pittsburgh Pa., W, 3 -1,
21.html , Fall 2010 Women's Volleyball Schedule,  Aug 28 (Sat) 11:00 AM, Robert Morris, Pittsburgh Pa., W, 3-1,
21.html , Fall 2010 Women's Volleyball Schedule,  Aug 28 (Sat) 3:00:00 PM, Radford, Pittsburgh Pa., W, 3-2,
21.html , Fall 2010 Women's Volleyball Schedule,  Sep 3 (Fri) 8:00:00 PM, Sacred Heart, Fairfield Conn., L, 0-3,
21.html , Fall 2010 Women's Volleyball Schedule,  Sep 4 (Sat) 11:00 AM, Jacksonville, Fairfield Conn., W, 3-1,
21.html , Fall 2010 Women's Volleyball Schedule,  Sep 4 (Sat) 5:00:00 PM, Dartmouth, Fairfield Conn., L, 1-3,
21.html , Fall 2010 Women's Volleyball Schedule,  Sep 7 (Tue) 7:00:00 PM, Villanova, Leeman- Turner Arena, L, 0-3,
21.html , Fall 2010 Women's Volleyball Schedule,  Sep 10 (Fri) 05:00 PM, Delaware State, Harrisonburg Va., L, 1-3,
21.html , Fall 2010 Women's Volleyball Schedule,  Sep 11 (Sat) 07:30 PM, James Madison, Harrisonburg Va., L, 0-3,
21.html , Fall 2010 Women's Volleyball Schedule,  Sep 11 (Sat) 10:00:00 AM, Loyola (MD), Harrisonburg Va., W, 3-0,
21.html , Fall 2010 Women's Volleyball Schedule,  Sep 15 (Wed) 7:00:00 PM, St. Peter's, Leeman- Turner Arena, W, 3-2,
21.html , Fall 2010 Women's Volleyball Schedule,  Sep 24 (Fri) 7:00:00 PM, Army, West Point N.Y., L, 1-3,
21.html , Fall 2010 Women's Volleyball Schedule,  Sep 25 (Sat) 2:00:00 PM, Holy Cross, Worcester Mass., W, 3-1,
21.html , Fall 2010 Women's Volleyball Schedule,  Oct 1 (Fri) 7:00:00 PM, Colgate, Leeman- Turner Arena, L, 2-3,
21.html , Fall 2010 Women's Volleyball Schedule,  Oct 2 (Sat) 4:00:00 PM, Bucknell, Leeman- Turner Arena, L, 0-3,
21.html , Fall 2010 Women's Volleyball Schedule,  Oct 7 (Thu) 7:30:00 PM, Lafayette, Easton Pa., W, 3-1,
21.html , Fall 2010 Women's Volleyball Schedule,  Oct 15 (Fri) 7:00:00 PM, Navy, Annapolis Md., W, 3-1,
21.html , Fall 2010 Women's Volleyball Schedule,  Oct 16 (Sat) 2:00:00 PM, American, Washington D.C., L, 0-3,
